HOSPITAL_NAME,CITY_x,STATE_x,STATE_FULL_x,TRAUMA_ADULT_x,TRAUMA_PEDS_x,BURN_ADULT_x,BURN_PEDS_x,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score,STATE_FULL_y,STATE_y,COUNTY,ADDRESS,CITY_y,ZIP_CODE,AHA_ID,TOTAL_BEDS,BURN_BEDS_x,TRAUMA_ADULT_y,TRAUMA_PEDS_y,BURN_ADULT_y,BURN_PEDS_y,ACS_VERIFIED,ADULT_TRAUMA_L1,ADULT_TRAUMA_L2,PEDS_TRAUMA_L1,PEDS_TRAUMA_L2,ABA_VERIFIED,TC_STATE_DESIGNATED,BC_STATE_DESIGNATED,PHONE,FULL_ADDRESS,LATITUDE,LONGITUDE,nearest_burn_distance_miles,STATE_FULL,BURN_BEDS_y,bed_score,capacity_score,distance_score,burn_gap_score,capacity_score_norm
Providence Alaska Medical Center/Children's Hospital at Providence,Anchorage,AK,Alaska,1,1,0,0,1,1,1,1.0,Alaska,AK,Anchorage,3200 Providence Dr,Anchorage,99508,6940020.0,401,,1.0,1.0,,,Yes,,1.0,,1.0,,Yes,,(907) 562-2211,"3200 Providence Dr, Anchorage, AK 99508",61.1871675,-149.8194391,1431.5553914262182,Alaska,0.0,1.0,1.0,1.0,1,1.0
Alaska Native Medical Center,Anchorage,AK,Alaska,1,1,0,0,1,1,1,0.9998019739330464,Alaska,AK,Anchorage,4315 Diplomacy Dr,Anchorage,99508,6940010.0,173,,1.0,1.0,,,Yes,,1.0,,1.0,,Yes,,(907) 563-2662,"4315 Diplomacy Dr, Anchorage, AK 99508",61.1827723,-149.8001772,1430.846678216742,Alaska,0.0,1.0,1.0,0.9995049348326158,1,1.0
Trinity Health,Minot,ND,North Dakota,1,0,0,0,1,0,0,0.7230467448183666,North Dakota,ND,Ward,1 Burdick Expy,Minot,58701,6640004.0,251,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 857-5000,"1 Burdick Expy, Minot, ND 58701",48.232724,-101.292842,440.3705773554468,North Dakota,0.0,1.0,1.0,0.3076168620459164,1,1.0
Sanford Medical Center,Bismarck,ND,North Dakota,1,0,0,0,1,0,0,0.7070340769528296,North Dakota,ND,Burleigh,300 North 7th St,Bismarck,58501,6640020.0,242,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 323-6000,"300 North 7th St, Bismarck, ND 58501",46.8074941,-100.7823346,383.0630248203802,North Dakota,0.0,1.0,1.0,0.26758519238207423,1,1.0
CHI St. Alexius Health Bismarck,Bismarck,ND,North Dakota,1,0,0,0,1,0,0,0.706965779859581,North Dakota,ND,Burleigh,900 E Broadway,Bismarck,58501,6640040.0,286,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 530-7000,"900 E Broadway, Bismarck, ND 58501",46.8073409,-100.777008,382.8185971402327,North Dakota,0.0,1.0,1.0,0.2674144496489524,1,1.0
Benefis Hospitals,Great Falls,MT,Montana,1,0,0,0,1,0,0,0.6782443776859126,Montana,MT,Cascade,1101 26th St S,Great Falls,59405,6810003.0,530,,1.0,,,,Yes,,1.0,,,,Yes,,(406) 455-5000,"1101 26th St S, Great Falls, MT 59405",47.4906909,-111.2617623,280.02790181264373,Montana,0.0,1.0,1.0,0.19561094421478156,1,1.0
Monument Health Rapid City Hospital,Rapid City,SD,South Dakota,1,0,0,0,1,0,0,0.6734301195396983,South Dakota,SD,Meade,353 Fairmont Blvd,Rapid City,57701,6650002.0,417,,1.0,,,,Yes,,1.0,,,No,Yes,,(605) 755-1000,"353 Fairmont Blvd, Rapid City, SD 57701",44.0564532,-103.2252396,262.79820880031724,South Dakota,0.0,1.0,1.0,0.18357529884924592,1,1.0
Providence St. Patrick Hospital,Missoula,MT,Montana,1,0,0,0,1,0,0,0.6711838484753538,Montana,MT,Missoula,500 W Broadway,Missoula,59802,6810430.0,237,,1.0,,,,Yes,,1.0,,,,Yes,,(406) 543-7271,"500 W Broadway, Missoula, MT 59802",46.8751479,-114.0002654,254.75905516839927,Montana,0.0,1.0,1.0,0.1779596211883845,1,1.0
Altru Health System,Grand Forks,ND,North Dakota,1,0,0,0,1,0,0,0.6685394051322716,North Dakota,ND,Grand Forks,1200 S Columbia Rd,Grand Forks,58201,6640001.0,257,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 780-5000,"1200 S Columbia Rd, Grand Forks, ND 58201",47.9105416,-97.0689328,245.29488735562316,North Dakota,0.0,1.0,1.0,0.1713485128306791,1,1.0
SCL Health - St. Vincent Healthcare,Billings,MT,Montana,1,0,0,0,1,0,0,0.6654855254759043,Montana,MT,Yellowstone,1233 N 30th St,Billings,59101,6810030.0,286,,1.0,,,,Yes,,1.0,,,,Yes,,(406) 237-7000,"1233 N 30th St, Billings, MT 59101",45.7933952,-108.517842,234.36539263852467,Montana,0.0,1.0,1.0,0.16371381368976093,1,1.0
Billings Clinic,Billings,MT,Montana,1,0,0,0,1,0,0,0.6654785252008897,Montana,MT,Yellowstone,2800 10th Ave North,Billings,59108,6810020.0,304,,1.0,,,,Yes,,1.0,,,,Yes,,(406) 238-2500,"2800 10th Ave North, Billings, MT 59108",45.789606,-108.5136577,234.3403394349281,Montana,0.0,1.0,1.0,0.1636963130022244,1,1.0
Valley Baptist Medical Center-Harlingen,Harlingen,TX,Texas,1,0,0,0,1,0,0,0.6646709403899497,Texas,TX,Cameron,2101 Pease St,Harlingen,78550,6741790.0,432,,1.0,,,,Yes,,1.0,,,,Yes,,(956) 389-1100,"2101 Pease St, Harlingen, TX 78550",26.1752464,-97.6702557,231.4500834595902,Texas,0.0,1.0,1.0,0.16167735097487426,1,1.0
Del Sol Medical Center,El Paso,TX,Texas,1,0,0,0,1,0,0,0.6644421633154521,Texas,TX,El Paso,10301 Gateway Blvd W,El Paso,79925,6741225.0,350,,1.0,,,,Yes,,1.0,,,,Yes,,(915) 595-9000,"10301 Gateway Blvd W, El Paso, TX 79925",31.7569346,-106.3498538,230.6313158235109,Texas,0.0,1.0,1.0,0.16110540828863035,1,1.0
University Medical Center of El Paso,El Paso,TX,Texas,1,0,0,0,1,0,0,0.6640742451264638,Texas,TX,El Paso,4815 Alameda Ave,El Paso,79905,6741240.0,394,,1.0,,,,Yes,1.0,,,,,Yes,,(915) 544-1200,"4815 Alameda Ave, El Paso, TX 79905",31.7720102,-106.4349038,229.314577655886,Texas,0.0,1.0,1.0,0.16018561281615962,1,1.0
Providence Sacred Heart Medical Center & Children's Hospital,Spokane,WA,Washington,1,1,0,0,1,1,1,0.6639063772220153,Washington,WA,Spokane,101 W 8th Ave,Spokane,99204,6910980.0,644,,1.0,1.0,,,No,,1.0,,1.0,,Yes,,(509) 474-3131,"101 W 8th Ave, Spokane, WA 99204",47.6483146,-117.4121718,228.7137971467342,Washington,0.0,1.0,1.0,0.15976594305503827,1,1.0
McAllen Medical Center,McAllen,TX,Texas,1,0,0,0,1,0,0,0.663255823017731,Texas,TX,Hidalgo,301 West Expy 83,McAllen,78503,6742460.0,441,,1.0,,,,Yes,,1.0,,,,Yes,,(956) 632-4000,"301 West Expy 83, McAllen, TX 78503",26.1868788,-98.225928,226.3855362003391,Texas,0.0,1.0,1.0,0.15813955754432776,1,1.0
UP Health System-Marquette,Marquette,MI,Michigan,1,0,0,0,1,0,0,0.6623326672258083,Michigan,MI,Marquette,580 W College Avenue ,Marquette,49855,6441720.0,307,,1.0,,,,Yes,,1.0,,,,Yes,,(906) 449-3000,"580 W College Avenue , Marquette, MI 49855",46.5547295,-87.4005914,223.08166457270576,Michigan,0.0,1.0,1.0,0.15583166806452092,1,1.0
Asante Rogue Regional Medical Center,Medford,OR,Oregon,1,0,0,0,1,0,0,0.6623313655275904,Oregon,OR,Jackson,2825 E Barnett Rd,Medford,97504,6920280.0,378,,1.0,,,,No,,1.0,,,,Yes,,(541) 789-7000,"2825 E Barnett Rd, Medford, OR 97504",42.3180196,-122.8304465,223.07700593995105,Oregon,0.0,1.0,1.0,0.1558284138189761,1,1.0
Doctors Hospital at Renaissance,Edinburg,TX,Texas,1,0,0,0,1,0,0,0.6619858220385746,Texas,TX,Hidalgo,5501 S McColl Rd,Edinburg,78539,6740232.0,530,,1.0,,,,Yes,1.0,,,,,Yes,,(956) 362-8677,"5501 S McColl Rd, Edinburg, TX 78539",26.2538581,-98.2037017,221.8403443282689,Texas,0.0,1.0,1.0,0.1549645550964365,1,1.0
Essentia Health Fargo,Fargo,ND,North Dakota,1,0,0,0,1,0,0,0.6605405448655235,North Dakota,ND,Cass,3000 32nd Ave South,Fargo,58103,6640003.0,133,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 364-8000,"3000 32nd Ave South, Fargo, ND 58103",46.8332997,-96.8898929,216.6678585053028,North Dakota,0.0,1.0,1.0,0.15135136216380893,1,1.0
